% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
2.006	2	1	201	7	1	2	573
2.026	1	1	203	7	1	28	9422
2.027	1	1	203	8	1	28	9422
2.031	1	1	204	2	1	28	9422
2.031	2	1	204	2	1	28	9422
2.032	1	1	204	3	1	28	9422
2.032	2	1	204	3	1	28	9422
2.033	1	1	204	4	1	28	9422
2.033	2	1	204	4	1	28	9422
2.034	1	1	204	5	1	28	9422
2.034	2	1	204	5	1	28	9422
2.035	1	1	204	6	1	28	9422
2.035	2	1	204	6	1	28	9422
2.036	1	1	204	7	1	28	9422
2.036	2	1	204	7	1	28	9422
2.037	1	1	204	8	1	28	9422
2.037	2	1	204	8	1	28	9422
2.038	1	1	204	9	1	28	9422
2.038	2	1	204	9	1	28	9422
2.039	1	1	204	10	1	28	9422
2.039	2	1	204	10	1	2	573
2.04	1	1	205	1	1	28	9422
2.041	1	1	205	2	1	2	573
2.042	1	1	205	3	1	28	9422
2.043	1	1	205	4	1	28	9422
2.044	1	1	205	5	1	28	9422
2.045	1	1	205	6	1	28	9422
2.065	1	1	207	6	1	28	9422
2.065	2	1	207	6	1	2	573
2.067	1	1	207	8	1	28	9422
2.072	1	1	208	3	1	28	9422
2.08	1	1	209	1	1	2	573
2.081	1	1	209	2	1	2	573
2.082	1	1	209	3	1	2	573
2.083	1	1	209	4	1	2	573
2.083	2	1	209	4	1	2	573
2.084	1	1	209	5	1	2	573
2.084	2	1	209	5	1	2	573
2.085	1	1	209	6	1	2	573
2.085	2	1	209	6	1	2	573
2.086	1	1	209	7	1	2	573
2.086	2	1	209	7	1	2	573
2.087	1	1	209	8	1	28	9422
2.087	2	1	209	8	1	2	573
2.088	1	1	209	9	1	28	9422
2.088	2	1	209	9	1	2	573
2.089	1	1	209	10	1	28	9422
2.089	2	1	209	10	1	2	573
2.09	1	1	210	1	1	2	573
2.09	2	1	210	1	1	2	573
2.091	1	1	210	2	1	28	9422
2.092	1	1	210	3	1	28	9422
2.093	1	1	210	4	1	28	9422
2.094	1	1	210	5	1	28	9422
2.114	1	1	212	5	1	28	9422
2.114	2	1	212	5	1	2	573
2.115	1	1	212	6	1	28	9422
2.121	1	1	213	2	1	28	9422
2.122	1	1	213	3	1	28	9422
2.123	1	1	213	4	1	28	9422
2.124	1	1	213	5	1	28	9422
2.125	1	1	213	6	1	28	9422
2.126	1	1	213	7	1	28	9422
2.127	1	1	213	8	1	28	9422
2.128	1	1	213	9	1	28	9422
2.129	1	1	213	10	1	28	9422
2.13	1	1	214	1	1	28	9422
2.131	1	1	214	2	1	28	9422
2.132	1	1	214	3	1	28	9422
2.132	2	1	214	3	1	2	573
2.133	1	1	214	4	1	28	9422
2.133	2	1	214	4	1	2	573
2.134	1	1	214	5	1	28	9422
2.134	2	1	214	5	1	2	573
2.135	1	1	214	6	1	28	9422
