% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
2816	1	1	1	0	28	9422	0	1	1
2817	1	1	1	0	28	9422	0	1	1
2818	1	1	1	0	28	9422	0	1	1
2824	2	1	1	0	28	9422	0	1	1
2842	2	1	1	0	28	9422	0	1	1
2843	1	1	1	0	28	9422	0	1	1
2844	1	1	1	0	28	9422	0	1	1
2845	1	1	1	0	28	9422	0	1	1
2849	1	1	1	0	2	573	0	1	1
2850	1	1	1	0	28	9422	0	1	1
2851	1	1	1	0	28	9422	0	1	1
2852	1	1	1	0	28	9422	0	1	1
2853	1	1	1	0	28	9422	0	1	1
2860	2	1	1	0	28	9422	0	1	1
2878	2	1	1	0	28	9422	0	1	1
2879	1	1	1	0	28	9422	0	1	1
2880	1	1	1	0	28	9422	0	1	1
2881	1	1	1	0	28	9422	0	1	1
2885	1	1	1	0	28	9422	0	1	1
2886	1	1	1	0	28	9422	0	1	1
2887	1	1	1	0	2	573	0	1	1
2888	1	1	1	0	28	9422	0	1	1
2889	1	1	1	0	28	9422	0	1	1
2890	1	1	1	0	28	9422	0	1	1
2896	2	1	1	0	2	573	0	1	1
2914	2	1	1	0	28	9422	0	1	1
2915	1	1	1	0	28	9422	0	1	1
2916	1	1	1	0	28	9422	0	1	1
2917	1	1	1	0	28	9422	0	1	1
2921	1	1	1	0	28	9422	0	1	1
2922	1	1	1	0	28	9422	0	1	1
2923	1	1	1	0	28	9422	0	1	1
2924	1	1	1	0	28	9422	0	1	1
2925	1	1	1	0	28	9422	0	1	1
2932	2	1	1	0	2	573	0	1	1
2950	2	1	1	0	28	9422	0	1	1
2951	1	1	1	0	28	9422	0	1	1
2952	1	1	1	0	28	9422	0	1	1
2953	1	1	1	0	28	9422	0	1	1
2957	1	1	1	0	28	9422	0	1	1
2958	1	1	1	0	28	9422	0	1	1
2959	1	1	1	0	28	9422	0	1	1
2960	1	1	1	0	28	9422	0	1	1
2961	1	1	1	0	28	9422	0	1	1
2962	1	1	1	0	28	9422	0	1	1
2968	2	1	1	0	2	573	0	1	1
2986	2	1	1	0	28	9422	0	1	1
2987	1	1	1	0	28	9422	0	1	1
2988	1	1	1	0	28	9422	0	1	1
2989	1	1	1	0	28	9422	0	1	1
2993	1	1	1	0	28	9422	0	1	1
2994	1	1	1	0	28	9422	0	1	1
2995	1	1	1	0	28	9422	0	1	1
2996	1	1	1	0	28	9422	0	1	1
2997	1	1	1	0	28	9422	0	1	1
3004	2	1	1	0	28	9422	0	1	1
3022	2	1	1	0	28	9422	0	1	1
3023	1	1	1	0	2	573	0	1	1
3024	1	1	1	0	2	573	0	1	1
3025	1	1	1	0	2	573	0	1	1
3026	1	1	1	0	2	573	0	1	1
3027	1	1	1	0	2	573	0	1	1
3028	1	1	1	0	2	573	0	1	1
3029	1	1	1	0	2	573	0	1	1
3030	1	1	1	0	28	9422	0	1	1
3031	1	1	1	0	28	9422	0	1	1
3032	1	1	1	0	28	9422	0	1	1
3033	1	1	1	0	28	9422	0	1	1
3034	1	1	1	0	28	9422	0	1	1
3040	2	1	1	0	28	9422	0	1	1
3058	2	1	1	0	2	573	0	1	1
3059	1	1	1	0	2	573	0	1	1
3060	1	1	1	0	2	573	0	1	1
3061	1	1	1	0	2	573	0	1	1
3062	1	1	1	0	2	573	0	1	1
3065	1	1	1	0	2	573	0	1	1
3066	1	1	1	0	28	9422	0	1	1
3067	1	1	1	0	28	9422	0	1	1
3068	1	1	1	0	28	9422	0	1	1
3069	1	1	1	0	28	9422	0	1	1
3076	2	1	1	0	28	9422	0	1	1
3094	2	1	1	0	2	573	0	1	1
3095	1	1	1	0	2	573	0	1	1
3096	1	1	1	0	2	573	0	1	1
3097	1	1	1	0	2	573	0	1	1
3098	1	1	1	0	2	573	0	1	1
3099	1	1	1	0	2	573	0	1	1
3100	1	1	1	0	2	573	0	1	1
3101	1	1	1	0	2	573	0	1	1
3102	1	1	1	0	28	9422	0	1	1
3103	1	1	1	0	28	9422	0	1	1
3104	1	1	1	0	28	9422	0	1	1
3105	1	1	1	0	28	9422	0	1	1
3106	1	1	1	0	28	9422	0	1	1
3112	2	1	1	0	28	9422	0	1	1
3130	2	1	1	0	2	573	0	1	1
3131	1	1	1	0	2	573	0	1	1
3132	1	1	1	0	2	573	0	1	1
3133	1	1	1	0	2	573	0	1	1
3134	1	1	1	0	2	573	0	1	1
3137	1	1	1	0	2	573	0	1	1
3138	1	1	1	0	28	9422	0	1	1
3139	1	1	1	0	28	9422	0	1	1
3140	1	1	1	0	28	9422	0	1	1
3141	1	1	1	0	28	9422	0	1	1
3148	2	1	1	0	28	9422	0	1	1
3166	2	1	1	0	28	9422	0	1	1
3167	1	1	1	0	2	573	0	1	1
3168	1	1	1	0	2	573	0	1	1
3169	1	1	1	0	2	573	0	1	1
3170	1	1	1	0	2	573	0	1	1
3171	1	1	1	0	2	573	0	1	1
3172	1	1	1	0	2	573	0	1	1
3173	1	1	1	0	2	573	0	1	1
3174	1	1	1	0	28	9422	0	1	1
3175	1	1	1	0	28	9422	0	1	1
3176	1	1	1	0	28	9422	0	1	1
3177	1	1	1	0	28	9422	0	1	1
3178	1	1	1	0	28	9422	0	1	1
3184	2	1	1	0	28	9422	0	1	1
3202	2	1	1	0	28	9422	0	1	1
3203	1	1	1	0	28	9422	0	1	1
3204	1	1	1	0	28	9422	0	1	1
3205	1	1	1	0	28	9422	0	1	1
3209	1	1	1	0	2	573	0	1	1
3210	1	1	1	0	28	9422	0	1	1
3211	1	1	1	0	28	9422	0	1	1
3212	1	1	1	0	28	9422	0	1	1
3213	1	1	1	0	28	9422	0	1	1
3220	2	1	1	0	28	9422	0	1	1
3238	2	1	1	0	28	9422	0	1	1
3239	1	1	1	0	28	9422	0	1	1
3240	1	1	1	0	28	9422	0	1	1
3241	1	1	1	0	28	9422	0	1	1
3245	1	1	1	0	28	9422	0	1	1
3246	1	1	1	0	28	9422	0	1	1
3247	1	1	1	0	2	573	0	1	1
3248	1	1	1	0	28	9422	0	1	1
3249	1	1	1	0	28	9422	0	1	1
3250	1	1	1	0	28	9422	0	1	1
3256	2	1	1	0	2	573	0	1	1
3274	2	1	1	0	28	9422	0	1	1
3275	1	1	1	0	28	9422	0	1	1
3276	1	1	1	0	28	9422	0	1	1
3277	1	1	1	0	28	9422	0	1	1
3281	1	1	1	0	28	9422	0	1	1
3282	1	1	1	0	28	9422	0	1	1
3283	1	1	1	0	28	9422	0	1	1
3284	1	1	1	0	28	9422	0	1	1
3285	1	1	1	0	28	9422	0	1	1
3292	2	1	1	0	2	573	0	1	1
3310	2	1	1	0	28	9422	0	1	1
3311	1	1	1	0	28	9422	0	1	1
3312	1	1	1	0	28	9422	0	1	1
3313	1	1	1	0	28	9422	0	1	1
3317	1	1	1	0	28	9422	0	1	1
3318	1	1	1	0	28	9422	0	1	1
3319	1	1	1	0	28	9422	0	1	1
3320	1	1	1	0	28	9422	0	1	1
3321	1	1	1	0	28	9422	0	1	1
3322	1	1	1	0	28	9422	0	1	1
3328	2	1	1	0	2	573	0	1	1
3347	1	1	1	0	28	9422	0	1	0
3347	2	1	1	0	28	9422	0	1	0
3348	1	1	1	0	28	9422	0	1	1
3349	1	1	1	0	28	9422	0	1	1
3354	1	1	1	0	28	9422	1	0	1
3355	1	1	1	0	28	9422	0	1	1
3356	1	1	1	0	28	9422	0	1	1
3357	1	1	1	0	28	9422	0	1	1
3358	1	1	1	0	28	9422	0	1	1
3365	2	1	1	0	2	573	0	1	1
3390	2	1	1	0	28	9422	0	1	1
3424	2	1	1	0	2	573	0	1	1
4395	2	1	1	0	2	573	0	1	1
