% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
1829	2	1	1	0	28	9422	0	1
1830	2	1	1	0	28	9422	0	1
1831	2	1	1	0	28	9422	0	1
1832	2	1	1	0	28	9422	0	1
1833	2	1	1	0	28	9422	0	1
1834	2	1	1	0	28	9422	0	1
1835	1	1	1	0	28	9422	0	1
1835	2	1	1	0	28	9422	0	1
1836	2	1	1	0	28	9422	0	1
1837	2	1	1	0	28	9422	0	1
1838	2	1	1	0	28	9422	0	1
1839	2	1	1	0	28	9422	0	1
1840	2	1	1	0	28	9422	0	1
1841	2	1	1	0	28	9422	0	1
1842	2	1	1	0	28	9422	0	1
1847	2	1	1	0	28	9422	0	1
1848	2	1	1	0	28	9422	0	1
1849	2	1	1	0	28	9422	0	1
1850	2	1	1	0	28	9422	0	1
1851	2	1	1	0	28	9422	0	1
1852	2	1	1	0	28	9422	0	1
1853	2	1	1	0	28	9422	0	1
1854	2	1	1	0	28	9422	0	1
1859	2	1	1	0	28	9422	0	1
1860	2	1	1	0	28	9422	0	1
1861	2	1	1	0	28	9422	0	1
1862	2	1	1	0	28	9422	0	1
1863	2	1	1	0	28	9422	0	1
1864	2	1	1	0	28	9422	0	1
1865	2	1	1	0	28	9422	0	1
1866	2	1	1	0	28	9422	0	1
1867	2	1	1	0	28	9422	0	1
1868	2	1	1	0	28	9422	0	1
1869	1	1	1	0	28	9422	0	1
1869	2	1	1	0	28	9422	0	1
1870	2	1	1	0	28	9422	0	1
1871	2	1	1	0	28	9422	0	1
1872	2	1	1	0	28	9422	0	1
1873	2	1	1	0	28	9422	0	1
1874	2	1	1	0	28	9422	0	1
1875	2	1	1	0	28	9422	0	1
1876	2	1	1	0	28	9422	0	1
1877	2	1	1	0	28	9422	0	1
1878	2	1	1	0	28	9422	0	1
1879	2	1	1	0	28	9422	0	1
1880	1	1	1	0	28	9422	0	1
1880	2	1	1	0	28	9422	0	1
1881	2	1	1	0	28	9422	0	1
1886	2	1	1	0	28	9422	0	1
1887	2	1	1	0	28	9422	0	1
1888	2	1	1	0	28	9422	0	1
1889	2	1	1	0	28	9422	0	1
1890	2	1	1	0	28	9422	0	1
1891	2	1	1	0	28	9422	0	1
1892	2	1	1	0	28	9422	0	1
1893	2	1	1	0	28	9422	0	1
1898	2	1	1	0	28	9422	0	1
1899	2	1	1	0	28	9422	0	1
1900	2	1	1	0	28	9422	0	1
1901	2	1	1	0	28	9422	0	1
1902	2	1	1	0	28	9422	0	1
1903	2	1	1	0	28	9422	0	1
1904	2	1	1	0	28	9422	0	1
1905	2	1	1	0	28	9422	0	1
1906	2	1	1	0	28	9422	0	1
1907	2	1	1	0	28	9422	0	1
1908	1	1	1	0	28	9422	0	1
1908	2	1	1	0	28	9422	0	1
1909	2	1	1	0	28	9422	0	1
1910	2	1	1	0	28	9422	0	1
1911	2	1	1	0	28	9422	0	1
1912	2	1	1	0	28	9422	0	1
1913	2	1	1	0	28	9422	0	1
1914	2	1	1	0	28	9422	0	1
1915	2	1	1	0	28	9422	0	1
1916	2	1	1	0	28	9422	0	1
1917	2	1	1	0	28	9422	0	1
1918	2	1	1	0	28	9422	0	1
1919	1	1	1	0	28	9422	0	1
1919	2	1	1	0	28	9422	0	1
1920	2	1	1	0	28	9422	0	1
1921	2	1	1	0	28	9422	0	1
1922	2	1	1	0	28	9422	0	1
1923	2	1	1	0	28	9422	0	1
1924	2	1	1	0	28	9422	0	1
1925	2	1	1	0	28	9422	0	1
1926	2	1	1	0	28	9422	0	1
1931	2	1	1	0	28	9422	0	1
1932	2	1	1	0	28	9422	0	1
1933	2	1	1	0	28	9422	0	1
1934	2	1	1	0	28	9422	0	1
1935	2	1	1	0	28	9422	0	1
1936	2	1	1	0	28	9422	0	1
1937	2	1	1	0	28	9422	0	1
1938	2	1	1	0	28	9422	0	1
1943	2	1	1	0	28	9422	0	1
1944	2	1	1	0	28	9422	0	1
1945	2	1	1	0	28	9422	0	1
1946	2	1	1	0	28	9422	0	1
1947	2	1	1	0	28	9422	0	1
1948	2	1	1	0	28	9422	0	1
1949	2	1	1	0	28	9422	0	1
1950	2	1	1	0	28	9422	0	1
1951	2	1	1	0	28	9422	0	1
1952	2	1	1	0	28	9422	0	1
1953	1	1	1	0	28	9422	0	1
1953	2	1	1	0	28	9422	0	1
1954	2	1	1	0	28	9422	0	1
1955	2	1	1	0	28	9422	0	1
1956	2	1	1	0	28	9422	0	1
1957	2	1	1	0	28	9422	0	1
1958	2	1	1	0	28	9422	0	1
1959	2	1	1	0	28	9422	0	1
1960	2	1	1	0	28	9422	0	1
1961	2	1	1	0	28	9422	0	1
1962	2	1	1	0	28	9422	0	1
1963	2	1	1	0	28	9422	0	1
1964	1	1	1	0	28	9422	0	1
1964	2	1	1	0	28	9422	0	1
1969	2	1	1	0	28	9422	0	1
1970	2	1	1	0	28	9422	0	1
1971	2	1	1	0	28	9422	0	1
1972	2	1	1	0	28	9422	0	1
1973	2	1	1	0	28	9422	0	1
1974	2	1	1	0	28	9422	0	1
1975	2	1	1	0	28	9422	0	1
1976	2	1	1	0	28	9422	0	1
1981	2	1	1	0	28	9422	0	1
1982	2	1	1	0	28	9422	0	1
1983	2	1	1	0	28	9422	0	1
1984	2	1	1	0	28	9422	0	1
1985	2	1	1	0	28	9422	0	1
1986	2	1	1	0	28	9422	0	1
1987	2	1	1	0	28	9422	0	1
1988	2	1	1	0	28	9422	0	1
1989	2	1	1	0	28	9422	0	1
1990	2	1	1	0	28	9422	0	1
1991	2	1	1	0	28	9422	0	1
1992	2	1	1	0	28	9422	0	1
1993	2	1	1	0	28	9422	0	1
1994	2	1	1	0	28	9422	0	1
1995	2	1	1	0	28	9422	0	1
1996	2	1	1	0	28	9422	0	1
1997	2	1	1	0	28	9422	0	1
1998	2	1	1	0	28	9422	0	1
1999	2	1	1	0	28	9422	0	1
2000	2	1	1	0	28	9422	0	1
2001	1	1	1	0	28	9422	0	1
2001	2	1	1	0	28	9422	0	1
2002	2	1	1	0	28	9422	0	1
2003	2	1	1	0	28	9422	0	1
2004	2	1	1	0	28	9422	0	1
2005	2	1	1	0	28	9422	0	1
2006	2	1	1	0	28	9422	0	1
2007	2	1	1	0	28	9422	0	1
2008	2	1	1	0	28	9422	0	1
2013	2	1	1	0	28	9422	0	1
2014	2	1	1	0	28	9422	0	1
2015	2	1	1	0	28	9422	0	1
2016	2	1	1	0	28	9422	0	1
2017	2	1	1	0	28	9422	0	1
2018	2	1	1	0	28	9422	0	1
2019	2	1	1	0	28	9422	0	1
2020	2	1	1	0	28	9422	0	1
2025	2	1	1	0	28	9422	0	1
2026	2	1	1	0	28	9422	0	1
2027	2	1	1	0	28	9422	0	1
2028	2	1	1	0	28	9422	0	1
2029	2	1	1	0	28	9422	0	1
2030	2	1	1	0	28	9422	0	1
2031	2	1	1	0	28	9422	0	1
2032	2	1	1	0	28	9422	0	1
2033	2	1	1	0	28	9422	0	1
2034	2	1	1	0	28	9422	0	1
2035	1	1	1	0	28	9422	0	1
2035	2	1	1	0	28	9422	0	1
2036	2	1	1	0	28	9422	0	1
2037	2	1	1	0	28	9422	0	1
2038	2	1	1	0	28	9422	0	1
2039	2	1	1	0	28	9422	0	1
